id_indicador;nome_tecnico;camada;dimensao;bloco_operacional;descricao;formula_conceitual;unidade;fonte_prevista;periodicidade;nivel_confianca_inicial;limitacao
IND_GAP_TERR_001;lacuna_populacional_territorial;camada_1_aimm;gap;territorios;População e concentração territorial do projeto;valor_observado / benchmark_territorial;índice;"IBGE/SIDRA; IBGE/Geociências";anual;médio;Área/densidade da Rodada 4.3 pendente de confirmação final
IND_GAP_ORG_001;lacuna_capacidade_organizacional;camada_1_aimm;gap;organizacoes_e_governanca;Capacidade institucional das organizações candidatas;1 - proporcao_organizacoes_validadas;índice;"Mapa OSCs; pré-diligência";por rodada;baixo;"Sem preenchimento manual; aptidão bloqueada"
IND_INT_BEN_001;intensidade_beneficiarios_agricultores;camada_1_aimm;intensidade;beneficiarios;Número e intensidade de agricultores alcançados;beneficiarios_alcancados / meta_beneficiarios;índice;"metas do projeto; cadastro futuro";semestral;baixo;Metas ainda preliminares
IND_INT_INV_001;intensidade_investimento_por_beneficiario;camada_1_aimm;intensidade;orcamento_componentes;Investimento por beneficiário direto;investimento_componente / beneficiarios_diretos;R$/beneficiário;budget_components.csv;por revisão orçamentária;baixo;Orçamento por componente ainda não estruturado
IND_MKT_IMP_001;potencial_substituicao_importacoes;camada_1_aimm;mercado;mercados_canais;Potencial de substituir importações de insumos/produtos herbais;valor_importado_substituivel / demanda_alvo;índice;"ComexStat; MDIC; bases setoriais futuras";anual;baixo;Depende de seleção de espécies e produtos
IND_MKT_DIV_001;diversificacao_produtos_mercados;camada_1_aimm;mercado;produtos_rotas_produtivas;Diversificação de produtos, mercados e clientes;indice_shannon_ou_score_diversificacao;índice;"product_pathway_registry.csv; market_registry.csv";por rodada;baixo;Rotas produtivas ainda não parametrizadas
IND_RISK_OSC_001;risco_organizacoes_executoras;camada_1_aimm;risco;organizacoes_e_governanca;Risco preliminar de OSCs e organizações candidatas;media_ponderada_risco_osc;0-100;"risk_osc_screening.csv; pre_diligencia_consolidado.csv";por rodada;médio;Sem validação documental real
IND_RISK_REG_001;risco_regulatorio_produtos;camada_1_aimm;risco;produtos_rotas_produtivas;Risco regulatório por rota de produto;score_risco_regulatorio_por_rota;0-100;regulatory_route_registry.csv;por produto;baixo;Ainda não criado
IND_MON_EVD_001;qualidade_evidencias;camada_1_aimm;monitoramento;sistema_dados;Qualidade, rastreabilidade e completude das evidências;evidencias_validas / evidencias_requeridas;índice;"evidence_registry.csv; evidence_*.csv";por rodada;médio;Depende de disciplina de arquivamento
IND_MON_LOG_001;rastreabilidade_coletas;camada_1_aimm;monitoramento;sistema_dados;Completude de logs e fontes;coletas_com_fetch_log / coletas_totais;índice;"fetch_log.csv; source_registry.csv";por rodada;médio;Logs dependem dos workflows
