id_plano_busca;id_indicador;nome_indicador;papel_indicador;lacuna_informacional;pergunta_principal;perguntas_secundarias;fonte_prioritaria;fontes_alternativas;metodo_coleta;tipo_coleta;endpoint_ou_url_base;parametros_busca_sugeridos;campos_a_extrair;unidade_esperada;normalizacao_requerida;regra_conferencia;criterio_aceitacao;status_inicial;prioridade_busca;arquivo_destino_dados;arquivo_destino_evidencias;observacoes
QRY_GAP_TERR_01;GAP_TERR_01;Agricultores familiares potenciais por município;Lacuna;informação ainda não coletada ou não auditada;Qual é o valor, a linha de base ou a evidência disponível para o indicador 'Agricultores familiares potenciais por município' no Fito+ Amazônia?;Há dados para Manaus/AM, Benjamin Constant/AM, Belém/PA e Santarém/PA? Qual o período de referência? Há fonte pública, documento do projeto ou necessidade de coleta de campo?;SRC_IBGE_API;"SRC_MAPA_OSC; SRC_CAMPO; SRC_GIS_IBGE_CAMPO";coleta por API, download público e conferência territorial;api_ou_download;IBGE agregados/SIDRA ou Mapa das OSCs, conforme indicador;"municípios: Manaus, Benjamin Constant, Belém, Santarém; UF: AM, PA; período mais recente disponível";"município; código IBGE; UF; valor; unidade; ano; fonte; data de acesso";número;absoluto;"conferir código IBGE do município; verificar ano; remover duplicidades; registrar fonte e tabela";valor municipal identificado para pelo menos um território ou justificativa de ausência;planejado;alta;linha_base_territorios.csv;data/evidence/evidence_registry.csv;"Plano inicial v0.1; ajustar após coleta real e definição de espécies/produtos."
QRY_GAP_TERR_02;GAP_TERR_02;Renda média agroextrativista ou familiar;Lacuna;informação ainda não coletada ou não auditada;Qual é o valor, a linha de base ou a evidência disponível para o indicador 'Renda média agroextrativista ou familiar' no Fito+ Amazônia?;Há dados para Manaus/AM, Benjamin Constant/AM, Belém/PA e Santarém/PA? Qual o período de referência? Há fonte pública, documento do projeto ou necessidade de coleta de campo?;SRC_IBGE_API;"SRC_MAPA_OSC; SRC_CAMPO; SRC_GIS_IBGE_CAMPO";coleta por API, download público e conferência territorial;api_ou_download;IBGE agregados/SIDRA ou Mapa das OSCs, conforme indicador;"municípios: Manaus, Benjamin Constant, Belém, Santarém; UF: AM, PA; período mais recente disponível";"município; código IBGE; UF; valor; unidade; ano; fonte; data de acesso";R$/família/mês;absoluto;"conferir código IBGE do município; verificar ano; remover duplicidades; registrar fonte e tabela";valor municipal identificado para pelo menos um território ou justificativa de ausência;planejado;alta;linha_base_territorios.csv;data/evidence/evidence_registry.csv;"Plano inicial v0.1; ajustar após coleta real e definição de espécies/produtos."
QRY_GAP_TERR_03;GAP_TERR_03;Acesso a assistência técnica e extensão rural;Lacuna;informação ainda não coletada ou não auditada;Qual é o valor, a linha de base ou a evidência disponível para o indicador 'Acesso a assistência técnica e extensão rural' no Fito+ Amazônia?;Há dados para Manaus/AM, Benjamin Constant/AM, Belém/PA e Santarém/PA? Qual o período de referência? Há fonte pública, documento do projeto ou necessidade de coleta de campo?;SRC_IBGE_API;"SRC_MAPA_OSC; SRC_CAMPO; SRC_GIS_IBGE_CAMPO";coleta por API, download público e conferência territorial;api_ou_download;IBGE agregados/SIDRA ou Mapa das OSCs, conforme indicador;"municípios: Manaus, Benjamin Constant, Belém, Santarém; UF: AM, PA; período mais recente disponível";"município; código IBGE; UF; valor; unidade; ano; fonte; data de acesso";%;absoluto;"conferir código IBGE do município; verificar ano; remover duplicidades; registrar fonte e tabela";valor municipal identificado para pelo menos um território ou justificativa de ausência;planejado;alta;linha_base_territorios.csv;data/evidence/evidence_registry.csv;"Plano inicial v0.1; ajustar após coleta real e definição de espécies/produtos."
QRY_GAP_TERR_04;GAP_TERR_04;Distância logística até unidade de beneficiamento ou laboratório;Lacuna;informação ainda não coletada ou não auditada;Qual é o valor, a linha de base ou a evidência disponível para o indicador 'Distância logística até unidade de beneficiamento ou laboratório' no Fito+ Amazônia?;Há dados para Manaus/AM, Benjamin Constant/AM, Belém/PA e Santarém/PA? Qual o período de referência? Há fonte pública, documento do projeto ou necessidade de coleta de campo?;SRC_IBGE_API;"SRC_MAPA_OSC; SRC_CAMPO; SRC_GIS_IBGE_CAMPO";coleta por API, download público e conferência territorial;api_ou_download;IBGE agregados/SIDRA ou Mapa das OSCs, conforme indicador;"municípios: Manaus, Benjamin Constant, Belém, Santarém; UF: AM, PA; período mais recente disponível";"município; código IBGE; UF; valor; unidade; ano; fonte; data de acesso";km ou horas;por território;"conferir código IBGE do município; verificar ano; remover duplicidades; registrar fonte e tabela";valor municipal identificado para pelo menos um território ou justificativa de ausência;planejado;alta;linha_base_territorios.csv;data/evidence/evidence_registry.csv;"Plano inicial v0.1; ajustar após coleta real e definição de espécies/produtos."
QRY_GAP_TERR_05;GAP_TERR_05;OSCs ou cooperativas elegíveis no território;Lacuna;informação ainda não coletada ou não auditada;Qual é o valor, a linha de base ou a evidência disponível para o indicador 'OSCs ou cooperativas elegíveis no território' no Fito+ Amazônia?;Há dados para Manaus/AM, Benjamin Constant/AM, Belém/PA e Santarém/PA? Qual o período de referência? Há fonte pública, documento do projeto ou necessidade de coleta de campo?;SRC_MAPA_OSC;"SRC_MAPA_OSC; SRC_CAMPO; SRC_GIS_IBGE_CAMPO";coleta por API, download público e conferência territorial;api_ou_download;IBGE agregados/SIDRA ou Mapa das OSCs, conforme indicador;"municípios: Manaus, Benjamin Constant, Belém, Santarém; UF: AM, PA; período mais recente disponível";"município; código IBGE; UF; valor; unidade; ano; fonte; data de acesso";número;por município;"conferir código IBGE do município; verificar ano; remover duplicidades; registrar fonte e tabela";valor municipal identificado para pelo menos um território ou justificativa de ausência;planejado;alta;triagem_organizacoes.csv;data/evidence/evidence_registry.csv;"Plano inicial v0.1; ajustar após coleta real e definição de espécies/produtos."
QRY_GAP_TERR_06;GAP_TERR_06;Infraestrutura territorial de energia, água, internet e transporte;Lacuna;informação ainda não coletada ou não auditada;Qual é o valor, a linha de base ou a evidência disponível para o indicador 'Infraestrutura territorial de energia, água, internet e transporte' no Fito+ Amazônia?;Há dados para Manaus/AM, Benjamin Constant/AM, Belém/PA e Santarém/PA? Qual o período de referência? Há fonte pública, documento do projeto ou necessidade de coleta de campo?;SRC_IBGE_API;"SRC_MAPA_OSC; SRC_CAMPO; SRC_GIS_IBGE_CAMPO";coleta por API, download público e conferência territorial;api_ou_download;IBGE agregados/SIDRA ou Mapa das OSCs, conforme indicador;"municípios: Manaus, Benjamin Constant, Belém, Santarém; UF: AM, PA; período mais recente disponível";"município; código IBGE; UF; valor; unidade; ano; fonte; data de acesso";escore 0-100;por município;"conferir código IBGE do município; verificar ano; remover duplicidades; registrar fonte e tabela";valor municipal identificado para pelo menos um território ou justificativa de ausência;planejado;alta;linha_base_territorios.csv;data/evidence/evidence_registry.csv;"Plano inicial v0.1; ajustar após coleta real e definição de espécies/produtos."
QRY_GAP_AGRO_01;GAP_AGRO_01;Produtividade atual por espécie ou cadeia;Lacuna;informação ainda não coletada ou não auditada;Qual é o valor, a linha de base ou a evidência disponível para o indicador 'Produtividade atual por espécie ou cadeia' no Fito+ Amazônia?;Há dados para Manaus/AM, Benjamin Constant/AM, Belém/PA e Santarém/PA? Qual o período de referência? Há fonte pública, documento do projeto ou necessidade de coleta de campo?;SRC_CAMPO_LITERATURA;"SRC_IFC_AGRONEGOCIO; SRC_RENASEM; SRC_EVIDENCE_REGISTRY";busca bibliográfica, diagnóstico de campo, checklist técnico e conferência por espécie;literatura_campo;bases bibliográficas, documentos técnicos, diagnóstico local e registros de viveiro;"espécie candidata; município; sistema de cultivo ou extrativismo; ciclo; produtividade; perdas; material propagativo";"espécie; produto; valor; unidade; ciclo; área; produção; método; fonte; limitação";kg/ha ou kg/família;"por hectare; por espécie; por território; por safra";"exigir espécie identificada; unidade agronômica válida; método de coleta explícito; separar cultivo de extrativismo";dado com espécie, unidade, período e método ou lacuna justificada para pesquisa de campo;planejado;alta;selecao_especies.csv;data/evidence/evidence_registry.csv;"Plano inicial v0.1; ajustar após coleta real e definição de espécies/produtos."
QRY_GAP_AGRO_02;GAP_AGRO_02;Lacuna relativa de produtividade;Lacuna;informação ainda não coletada ou não auditada;Qual é o valor, a linha de base ou a evidência disponível para o indicador 'Lacuna relativa de produtividade' no Fito+ Amazônia?;Há dados para Manaus/AM, Benjamin Constant/AM, Belém/PA e Santarém/PA? Qual o período de referência? Há fonte pública, documento do projeto ou necessidade de coleta de campo?;SRC_CAMPO_LITERATURA;"SRC_IFC_AGRONEGOCIO; SRC_RENASEM; SRC_EVIDENCE_REGISTRY";busca bibliográfica, diagnóstico de campo, checklist técnico e conferência por espécie;literatura_campo;bases bibliográficas, documentos técnicos, diagnóstico local e registros de viveiro;"espécie candidata; município; sistema de cultivo ou extrativismo; ciclo; produtividade; perdas; material propagativo";"espécie; produto; valor; unidade; ciclo; área; produção; método; fonte; limitação";%;"comparação com benchmark setorial; por espécie; por território; por safra";"exigir espécie identificada; unidade agronômica válida; método de coleta explícito; separar cultivo de extrativismo";dado com espécie, unidade, período e método ou lacuna justificada para pesquisa de campo;planejado;alta;selecao_especies.csv;data/evidence/evidence_registry.csv;"Plano inicial v0.1; ajustar após coleta real e definição de espécies/produtos."
QRY_GAP_AGRO_03;GAP_AGRO_03;Perdas pós-colheita;Lacuna;informação ainda não coletada ou não auditada;Qual é o valor, a linha de base ou a evidência disponível para o indicador 'Perdas pós-colheita' no Fito+ Amazônia?;Há dados para Manaus/AM, Benjamin Constant/AM, Belém/PA e Santarém/PA? Qual o período de referência? Há fonte pública, documento do projeto ou necessidade de coleta de campo?;SRC_CAMPO_LITERATURA;"SRC_IFC_AGRONEGOCIO; SRC_RENASEM; SRC_EVIDENCE_REGISTRY";busca bibliográfica, diagnóstico de campo, checklist técnico e conferência por espécie;literatura_campo;bases bibliográficas, documentos técnicos, diagnóstico local e registros de viveiro;"espécie candidata; município; sistema de cultivo ou extrativismo; ciclo; produtividade; perdas; material propagativo";"espécie; produto; valor; unidade; ciclo; área; produção; método; fonte; limitação";%;"por espécie; por espécie; por território; por safra";"exigir espécie identificada; unidade agronômica válida; método de coleta explícito; separar cultivo de extrativismo";dado com espécie, unidade, período e método ou lacuna justificada para pesquisa de campo;planejado;alta;operacoes_cadeia_valor.csv;data/evidence/evidence_registry.csv;"Plano inicial v0.1; ajustar após coleta real e definição de espécies/produtos."
QRY_GAP_AGRO_04;GAP_AGRO_04;Material propagativo qualificado disponível;Lacuna;informação ainda não coletada ou não auditada;Qual é o valor, a linha de base ou a evidência disponível para o indicador 'Material propagativo qualificado disponível' no Fito+ Amazônia?;Há dados para Manaus/AM, Benjamin Constant/AM, Belém/PA e Santarém/PA? Qual o período de referência? Há fonte pública, documento do projeto ou necessidade de coleta de campo?;SRC_CAMPO_LITERATURA;"SRC_IFC_AGRONEGOCIO; SRC_RENASEM; SRC_EVIDENCE_REGISTRY";busca bibliográfica, diagnóstico de campo, checklist técnico e conferência por espécie;literatura_campo;bases bibliográficas, documentos técnicos, diagnóstico local e registros de viveiro;"espécie candidata; município; sistema de cultivo ou extrativismo; ciclo; produtividade; perdas; material propagativo";"espécie; produto; valor; unidade; ciclo; área; produção; método; fonte; limitação";número ou binário;"por espécie; por espécie; por território; por safra";"exigir espécie identificada; unidade agronômica válida; método de coleta explícito; separar cultivo de extrativismo";dado com espécie, unidade, período e método ou lacuna justificada para pesquisa de campo;planejado;alta;selecao_especies.csv;data/evidence/evidence_registry.csv;"Plano inicial v0.1; ajustar após coleta real e definição de espécies/produtos."
