modulo;requisito;status;arquivo;evidencia;impacto;acao_recomendada
aimm_communication.py;seeds_entradas;PARCIAL;data/processed/aimm_dashboard_cards.csv;"Dependência de pipeline gerada em runtime por outro módulo; ausente em clone estático.";informativo;nenhuma
aimm_communication.py;seeds_entradas;PARCIAL;data/processed/aimm_dashboard_dimension_view.csv;"Dependência de pipeline gerada em runtime por outro módulo; ausente em clone estático.";informativo;nenhuma
aimm_communication.py;seeds_entradas;PARCIAL;data/processed/aimm_executive_summary.csv;"Dependência de pipeline gerada em runtime por outro módulo; ausente em clone estático.";informativo;nenhuma
aimm_communication.py;seeds_entradas;PARCIAL;data/processed/aimm_next_actions.csv;"Dependência de pipeline gerada em runtime por outro módulo; ausente em clone estático.";informativo;nenhuma
aimm_communication.py;codigo;IMPLEMENTADO;src/fito_aimm/aimm_communication.py;Módulo com 412 linhas.;informativo;nenhuma
aimm_communication.py;execucao;IMPLEMENTADO;src/fito_aimm/aimm_communication.py;Função pública: execute_aimm_communication.;informativo;nenhuma
aimm_communication.py;teste;IMPLEMENTADO;scripts/testar_aimm_communication.py;Teste presente.;informativo;nenhuma
aimm_communication.py;workflow;IMPLEMENTADO;.github/workflows/aimm_communication.yml;Workflow presente.;informativo;nenhuma
aimm_dashboard.py;seeds_entradas;PARCIAL;data/processed/aimm_blockers_report.csv;"Dependência de pipeline gerada em runtime por outro módulo; ausente em clone estático.";informativo;nenhuma
aimm_dashboard.py;seeds_entradas;PARCIAL;data/processed/aimm_dimension_scores.csv;"Dependência de pipeline gerada em runtime por outro módulo; ausente em clone estático.";informativo;nenhuma
aimm_dashboard.py;seeds_entradas;PARCIAL;data/processed/aimm_engine_validation_report.csv;"Dependência de pipeline gerada em runtime por outro módulo; ausente em clone estático.";informativo;nenhuma
aimm_dashboard.py;seeds_entradas;PARCIAL;data/processed/aimm_indicator_scores.csv;"Dependência de pipeline gerada em runtime por outro módulo; ausente em clone estático.";informativo;nenhuma
aimm_dashboard.py;seeds_entradas;PARCIAL;data/processed/aimm_overall_score.csv;"Dependência de pipeline gerada em runtime por outro módulo; ausente em clone estático.";informativo;nenhuma
aimm_dashboard.py;codigo;IMPLEMENTADO;src/fito_aimm/aimm_dashboard.py;Módulo com 302 linhas.;informativo;nenhuma
aimm_dashboard.py;execucao;IMPLEMENTADO;src/fito_aimm/aimm_dashboard.py;Função pública: execute_aimm_dashboard.;informativo;nenhuma
aimm_dashboard.py;teste;IMPLEMENTADO;scripts/testar_aimm_dashboard.py;Teste presente.;informativo;nenhuma
aimm_dashboard.py;workflow;IMPLEMENTADO;.github/workflows/aimm_dashboard.yml;Workflow presente.;informativo;nenhuma
aimm_engine.py;codigo;IMPLEMENTADO;src/fito_aimm/aimm_engine.py;Módulo com 308 linhas.;informativo;nenhuma
aimm_engine.py;execucao;IMPLEMENTADO;src/fito_aimm/aimm_engine.py;Função pública: execute_aimm_engine.;informativo;nenhuma
aimm_engine.py;teste;IMPLEMENTADO;scripts/testar_aimm_engine.py;Teste presente.;informativo;nenhuma
aimm_engine.py;workflow;IMPLEMENTADO;.github/workflows/aimm_engine.yml;Workflow presente.;informativo;nenhuma
benchmark_proxy.py;codigo;IMPLEMENTADO;src/fito_aimm/benchmark_proxy.py;Módulo com 236 linhas.;informativo;nenhuma
benchmark_proxy.py;execucao;IMPLEMENTADO;src/fito_aimm/benchmark_proxy.py;Função pública: execute_benchmark_proxy.;informativo;nenhuma
benchmark_proxy.py;teste;IMPLEMENTADO;scripts/testar_benchmark_proxy.py;Teste presente.;informativo;nenhuma
benchmark_proxy.py;workflow;IMPLEMENTADO;.github/workflows/benchmark_proxy.yml;Workflow presente.;informativo;nenhuma
